region_admin,ville,zone_geo,ca_ttc,nb_commandes,nb_clients,panier_moyen
Oriental,Nador,Nord-Est,7658103.6,1092,643,7012.92
Souss-Massa,Agadir,Sud,7301393.03,1031,622,7081.86
Rabat-Salé-Kénitra,Rabat,Nord-Ouest,6846966.7,1004,618,6819.69
Fès-Meknès,Fès,Centre,6807469.38,994,595,6848.56
Oriental,Oujda,Est,6734990.02,981,596,6865.43
Fès-Meknès,Meknès,Centre,6648945.02,942,585,7058.33
Marrakech-Safi,Marrakech,Centre-Sud,6344404.76,1010,622,6281.59
Rabat-Salé-Kénitra,Kénitra,Nord-Ouest,6330242.07,956,589,6621.59
Tanger-Tétouan-Al Hoceïma,Tétouan,Nord,6206074.78,959,582,6471.4
Tanger-Tétouan-Al Hoceïma,Al Hoceïma,Nord,6171371.68,977,595,6316.65
Casablanca-Settat,Casablanca,Centre-Ouest,6027984.18,973,589,6195.26
Tanger-Tétouan-Al Hoceïma,Tanger,Nord,5819553.18,958,587,6074.69
